id,time,lat,lon,note,status
SOS003,2026-01-11 09:54:00,21.04242,105.841729,"mất điện, cần hỗ trợ",closed
SOS019,2026-01-11 09:52:00,21.024417,105.865254,kẹt xe do ngập,false_alarm
SOS017,2026-01-11 09:45:00,21.016755,105.842477,mắc kẹt trong nhà,open
SOS001,2026-01-11 09:39:00,21.020972,105.860911,đường bị chia cắt,open
SOS010,2026-01-11 09:27:00,21.040984,105.826987,cần y tế,closed
SOS018,2026-01-11 09:25:00,21.029985,105.83006,cần sơ tán,open
SOS005,2026-01-11 09:14:00,21.007861,105.851564,kẹt xe do ngập,false_alarm
SOS007,2026-01-11 09:04:00,21.001985,105.83618,cần sơ tán,in_progress
SOS020,2026-01-11 09:02:00,21.015974,105.850609,đường bị chia cắt,closed
SOS002,2026-01-11 08:31:00,21.055543,105.83257,cần cứu trợ lương thực,closed
SOS008,2026-01-11 08:27:00,21.050471,105.855054,nước vào nhà,false_alarm
SOS009,2026-01-11 08:22:00,21.034567,105.859745,"ngập sâu, cần thuyền",closed
SOS015,2026-01-11 08:13:00,21.009409,105.882138,nước vào nhà,false_alarm
SOS006,2026-01-11 08:01:00,21.00786,105.871311,kêu gọi cứu hộ,in_progress
SOS012,2026-01-11 07:41:00,21.056695,105.834431,cần sơ tán,closed
SOS014,2026-01-11 07:19:00,21.01124,105.881133,bị thương nhẹ,closed
SOS004,2026-01-11 07:17:00,21.03442,105.846182,"mất điện, cần hỗ trợ",false_alarm
SOS016,2026-01-11 07:15:00,21.009504,105.872704,kêu gọi cứu hộ,false_alarm
SOS013,2026-01-11 07:11:00,21.048447,105.828103,cần y tế,open
SOS011,2026-01-11 07:06:00,20.999735,105.860653,cần sơ tán,in_progress
